M1,M2,M3,Inclination,Orientation
-205.260984190027,209.327265662071,-4.02281689370483,-42.1190156046493,-16.1458303456496
-205.525117733582,209.520925396825,-4.04185055165907,-42.0941492363406,-16.2026677589266
-205.781802825801,209.710574427013,-3.92205080627517,-42.1590653545289,-16.151789106719
-205.530847311534,209.431543980784,-4.12918077879291,-42.1120255195487,-16.2584165523928
-205.303383066867,209.151940576761,-3.75970321502485,-42.1034311526217,-16.1846768841595
-205.433444486362,209.207517482888,-3.77089881034171,-42.0967848421982,-16.1145468500355
-205.981765096302,209.76385950196,-4.27249471208899,-42.2177362327503,-16.2969766120051
-205.818472124689,209.446440883458,-4.18292421997619,-42.1940730758114,-16.2753188073492
-205.388753778341,209.241321992801,-3.71379783647897,-42.1257192108523,-16.191208603024
-205.743414653527,209.768443164321,-3.43948856248214,-42.1929844560007,-16.1030303983533
-205.738830991166,209.738649358975,-3.72611642907428,-42.2005474988964,-16.1882865182688
-205.313696307179,209.700261186701,-4.27920977744792,-42.0493439367614,-16.2525723828825
-205.149257419977,209.495142296044,-4.47850168732827,-42.0382285555358,-16.3889363381236
-205.371565044487,209.373102285681,-4.1157449184971,-42.0723768401256,-16.2555517634172
-204.716674284653,208.827073506921,-4.11014712083867,-41.966666126924,-16.2523431997644
-204.636460193335,209.040786764505,-4.19859461567301,-41.9611657320907,-16.245926072459
-205.331457998828,209.317525379553,-3.89182155300407,-42.1185572384132,-16.241686184775
-206.152506519251,209.455035250385,-3.64214373461991,-42.2977784367301,-16.2178511404976
-206.107242853435,209.30148256129,-3.85039097483816,-42.2307423746998,-16.289700048007
-206.041352706995,209.710574427013,-4.00042570307112,-42.2342947130296,-16.2652347501549
-205.284475459628,209.786777813766,-4.43371930606085,-42.0897374613181,-16.3603457441466
-204.635314277744,209.518060607849,-4.6016646949696,-41.9606500700751,-16.3626375753271
-204.909188103817,209.811414998956,-3.9276486039336,-42.065386755025,-16.2275341272353
-205.642574081584,210.116801503761,-3.63206540700356,-42.2389356711702,-16.2463271429156
-205.837379731929,209.406906795594,-3.84031837679976,-42.2219761204343,-16.226388211645
-0.312375443989735,0.310136324926363,0.273188568549557,0.107847845777475,-0.00758596120753237
-1.73653767421635,1.72198454622003,1.63801185176566,-0.170065332750731,-0.035259822712351
-4.23890219656047,4.22322607128569,4.0866329329265,-1.0552908558058,-0.0609970868696274
-7.82952556624221,7.88103447202447,7.6280163096947,-2.23109192466147,-0.070152952435818
-12.5364311490214,12.5924091256057,12.2755634648984,-3.84293679392351,-0.128692050364334
-18.4357764950269,18.4144624650481,17.9453819181745,-5.66459880776245,-0.189276607621468
-25.3538980965545,25.3281722915532,22.8941329862784,-7.40152036370154,-0.535159769386043
-33.3122245751422,33.4387336563071,26.7579311735226,-8.09050211234635,-0.829385056341623
-42.3879333457939,42.4539953795725,29.5435946776692,-8.4888223715213,-0.679636807006232
-52.5597103785309,52.8082594700587,31.2342212437617,-11.8999839006122,-0.739344738836814
-63.9810510666688,64.1300200934028,31.9529967977533,-14.5664721833715,-0.955899867084461
-76.376420006529,76.5723715724637,32.2049263402723,-18.2609613421546,-1.28001063263407
-89.8254583316348,90.0345879268576,31.8891692993757,-21.4170420608532,-2.195728969546
-103.582174992726,103.075107344035,31.7402575684212,-24.9665728974682,-3.06192656422478
-117.332589118071,115.208634571521,31.6036644300621,-27.8199027172197,-3.74059507255724
-130.880749141734,126.058736337913,31.2756460923497,-30.8574957638852,-4.63899289532237
-143.231427373574,135.825374913713,31.3629648603276,-33.5265050609431,-5.2890708096778
-154.494058752461,144.485631987115,31.7638061338011,-35.8815334862694,-5.71621084594783
-164.647443839974,152.134618552112,31.8309567873905,-37.9616567614918,-6.27627709068821
-173.708771369968,158.598155438983,31.7638061338011,-39.6543459756468,-6.64308467113096
-181.696375991887,163.95359195007,31.2274603417792,-41.1077680145552,-7.10122172411757
-188.60796587455,168.231867806312,31.2621815841641,-42.3598526842546,-7.45897657139726
-194.305458189331,171.399178497796,31.7592797672196,-43.3205310193504,-7.57626103206054
-198.919487313519,173.492766281204,31.9720189965517,-44.098493113579,-7.76046696319509
-202.455209867272,174.459919039384,32.2496743440721,-44.7018176718518,-7.83793085709678
-204.862205564616,174.331576493275,31.8813197775824,-45.0436442924268,-7.99452022250604
-206.161100886178,173.792996165852,31.2342212437617,-45.1805812054631,-8.18422654847385
-206.358198367703,173.537456989224,31.2935223755577,-45.188831797713,-8.23865753901128
-205.718777468337,174.159116196941,31.5096420558811,-45.0203822059445,-8.10309572468333
-205.00888276017,174.051400131456,31.3651993957286,-44.9064781962725,-8.14658322133376
-205.144673757616,173.754607993578,31.2308407927704,-44.8729028694779,-8.16921505424142
-204.864497395797,173.619389953927,31.251008907159,-44.8235712033171,-8.15666727852806
-204.764802739444,173.420000641222,31.4894739414925,-44.8349157676607,-8.14274440410638
-205.608196613876,173.792996165852,31.9933330265305,-44.9496792140254,-8.05783205886799
-206.370803439196,174.005563507846,32.3179709132516,-45.1160661577314,-8.06046766472559
-206.022445099756,173.465837264832,31.6036644300621,-44.9879527947401,-8.09765262562958
